Index,Angle,Porosity,Surface_Area,Permeability_X
652,220,73.12316895,4279,11.9124
653,230,73.67706299,4253,12.212668
654,240,72.74017334,4477,11.760407
655,250,72.55859375,4480,11.518294
656,260,73.13842773,4373,12.260116
657,270,73.09112549,4298,12.520022
658,280,72.77526855,4550,11.468535
659,290,72.66235352,4576,11.125776
660,300,72.83630371,4390,10.6841
661,310,73.05908203,4298,10.114641
662,320,73.57635498,4254,10.190443
663,330,72.77069092,4469,10.347704
664,340,72.4899292,4483,10.655686
665,350,73.08807373,4391,10.989792
666,360,73.10791016,4294,11.862444
667,0,56.13861084,5246,5.007036
668,10,56.48803711,5316,4.579139
669,20,56.93664551,5300,4.93099
670,30,57.06176758,5264,4.9772797
671,40,57.08770752,5168,5.063131
672,50,56.72912598,5173,4.9698243
673,60,55.96160889,5330,4.3346834
674,70,57.68127441,5293,4.3793216
675,80,57.91931152,5297,4.20061
676,90,56.08825684,5279,4.1031504
677,100,56.48956299,5309,4.1048203
678,110,57.01904297,5291,4.4244943
679,120,57.09381104,5251,4.344302
680,130,57.13043213,5187,4.765191
681,140,56.72302246,5180,4.7712708
682,150,55.95245361,5343,4.8821335
683,160,57.66601563,5309,5.342103
684,170,57.94219971,5291,5.201596
685,180,56.22406006,5271,4.942692
686,190,56.50177002,5299,4.47484
687,200,56.95800781,5305,4.9158654
688,210,57.09381104,5259,4.857491
689,220,57.19604492,5180,4.9637556
690,230,56.74743652,5161,4.9176087
691,240,55.96923828,5348,4.3222866
692,250,57.65686035,5313,4.406943
693,260,57.96661377,5299,4.240314
694,270,56.27288818,5238,4.0898757
695,280,56.50177002,5306,4.1410937
696,290,56.88018799,5314,4.399187
697,300,57.0602417,5272,4.3685565
698,310,57.15637207,5161,4.8358026
699,320,56.75201416,5154,4.8482018
700,330,55.97839355,5337,4.8776736
701,340,57.67059326,5297,5.3851557
702,350,57.94219971,5305,5.2110987
703,360,56.13861084,5246,5.007036
704,0,63.03253174,4370,8.725919
705,10,63.59710693,4508,8.375653
706,20,63.05389404,4537,7.6393194
707,30,62.72583008,4533,7.3445635
708,40,63.00048828,4362,7.203549
709,50,63.1072998,4409,7.741389
710,60,62.86468506,4468,7.9819293
711,70,63.59558105,4476,8.549316
712,80,63.95111084,4461,8.408887
713,90,63.00354004,4388,8.702753
714,100,63.61541748,4502,9.051852
715,110,63.10882568,4527,9.139534
716,120,62.7166748,4526,8.86614
717,130,63.01116943,4380,8.972487
718,140,63.08898926,4410,8.721076
719,150,62.89672852,4471,8.82774
720,160,63.65356445,4478,8.432085
721,170,63.92211914,4466,8.460418
722,180,63.07373047,4382,8.71906
723,190,63.61541748,4496,8.406257
724,200,63.1362915,4533,7.779046
725,210,62.75787354,4516,7.398362
726,220,63.00506592,4367,7.2170243
727,230,63.02642822,4390,7.683606
728,240,62.96539307,4471,7.915809
729,250,63.65661621,4472,8.532934
730,260,63.97705078,4460,8.454977
731,270,63.10272217,4364,8.677891
732,280,63.59863281,4502,9.118831
733,290,63.07983398,4543,9.155497
734,300,62.76702881,4523,8.901738
735,310,62.99591064,4349,8.964923
736,320,63.04321289,4389,8.795119
737,330,62.93640137,4468,8.851713
738,340,63.59710693,4470,8.532352
739,350,64.00604248,4455,8.43289
740,360,63.03253174,4370,8.725919
741,0,67.64984131,3946,10.56952
742,10,68.3807373,4034,10.40476
743,20,68.01300049,4101,10.986669
744,30,68.09082031,4061,12.030245
745,40,68.43414307,3889,12.636891
746,50,68.53942871,3895,13.543285
747,60,67.77038574,3952,12.915361
748,70,68.49822998,4048,12.991
749,80,68.87664795,3976,13.230383
750,90,67.62390137,3970,13.923259
751,100,68.43261719,4017,12.637337
752,110,68.019104,4099,11.691964
753,120,68.04962158,4062,11.652741
754,130,68.47686768,3899,11.235622
755,140,68.51348877,3898,10.961535
756,150,67.80395508,3952,11.516494
757,160,68.54400635,4048,10.1104965
758,170,68.86444092,3966,10.53867
